quantile, ccyy, threshold, hc, hceduc, hcmed, hcbgiftg, hncbgiftg
69, pe10, 21115, 22736.547, 1205.3491, 1658.7028, 698.79245, 698.79245
70, pe10, 21622, 23543.594, 1208.4198, 1670.4575, 582.82075, 582.82075
71, pe10, 22192, 23593.887, 1054.662, 1562, 696.71831, 696.71831
72, pe10, 22793, 24608.967, 1254.184, 1708.1651, 783.81604, 783.81604
73, pe10, 23427, 25021.141, 1189.7887, 1996.939, 956.81221, 956.81221
74, pe10, 24015, 25480.972, 1306.6066, 1875.5829, 871.43602, 871.43602
75, pe10, 24689.5, 26035.505, 1348.8208, 1889.5472, 679.40094, 679.40094
76, pe10, 25358, 27121.657, 1627.2911, 2192.7793, 1116.7183, 1116.7183
77, pe10, 26002, 28051.319, 1562.5399, 2164.5634, 1027.6056, 1027.6056
78, pe10, 26971, 27776.469, 1469.218, 2266.7393, 1095.5829, 1095.5829
79, pe10, 27819, 27859.554, 1651.1502, 2321.6432, 946.76995, 946.76995
80, pe10, 28716, 28407.217, 1779.6321, 2382.0283, 1032.0943, 1032.0943
81, pe10, 29663, 29828.646, 1611.0236, 2250.967, 973.88679, 973.88679
82, pe10, 30595, 29627.66, 1578.3538, 2482.5094, 983.81132, 983.81132
83, pe10, 31762, 29389.793, 1682.8357, 1869.6995, 847.19718, 847.19718
84, pe10, 32897, 32334.382, 1846.9811, 2438.3868, 998.83019, 998.83019
85, pe10, 34082, 31993.288, 1693.5047, 2501.5472, 1067.4623, 1067.4623
86, pe10, 35428, 33086.268, 1782.6197, 2574.7981, 1050.9155, 1050.9155
87, pe10, 36752, 32628.057, 2050.9245, 2377.2547, 1152.467, 1152.467
88, pe10, 38296, 33970.717, 2345.3821, 2702.9057, 1224.1792, 1224.1792
89, pe10, 39939, 36864.892, 2535.6651, 3309.1179, 1055.3821, 1055.3821
90, pe10, 42000, 34550.304, 2056.4813, 2641.0981, 1176.4766, 1176.4766
91, pe10, 44153, 39389.948, 2718.6114, 3118.9763, 1192.4976, 1192.4976
92, pe10, 46421, 39386.764, 2485.2406, 3160.4009, 1403.184, 1403.184
93, pe10, 49186, 40221.526, 2903.4085, 4019.338, 1939.2629, 1939.2629
94, pe10, 52194, 40331.132, 2651.0094, 3455.533, 1463.0047, 1463.0047
95, pe10, 56357, 43404.835, 3161.2877, 3452.6651, 1413.5849, 1413.5849
96, pe10, 62213, 45053.292, 3057.7075, 3877.4104, 1546.1368, 1546.1368
97, pe10, 69358, 47967.737, 3632.23, 3484.3146, 1142.1972, 1142.1972
98, pe10, 80549, 55559.858, 4084.4009, 6213.1085, 2591.3962, 2591.3962
99, pe10, 103403, 56834.406, 4215.1321, 4979.1132, 1960.2311, 1960.2311
100, pe10, ., 73829.09, 6578.2311, 8500.7311, 3126.3066, 3126.3066
1, si10, 1641, 12435.079, 2.675, 209.5, 181.525, 181.525
2, si10, 2824, 14856.921, 92.717949, 334.05128, 193.71795, 193.71795
3, si10, 4010, 13748.472, 2.8974359, 549.69231, 228.76923, 228.76923
4, si10, 4978, 9801.3243, 17.589744, 212.84615, 213.05128, 213.05128
5, si10, 5686, 10858.838, .8, 282.425, 216.95, 216.95
6, si10, 6113, 9358.3939, 0, 71.051282, 177.17949, 177.17949
7, si10, 6540, 12215.5, 13.615385, 133.69231, 149.30769, 149.30769
8, si10, 6966, 11393.028, 19.205128, 261.05128, 189.58974, 189.58974
9, si10, 7574, 12303.846, 0, 240.9, 153.35, 153.35
10, si10, 7906, 12479.795, 19.974359, 312.48718, 174.10256, 174.10256
11, si10, 8478, 12727.441, 64.538462, 338.84615, 264.33333, 264.33333
12, si10, 8810, 12966.167, 8.9487179, 351.53846, 149.48718, 149.48718
13, si10, 9208, 12948.081, 0, 266.55, 214.475, 214.475
